# 空港・離島 — 本アプリ用キュレーションデータ(layer: airport / island)
# 空港: OpenStreetMap aeroway=aerodrome + iata © OpenStreetMap contributors(ODbL)
# 離島: 主要有人離島を地理院地図で照合し手キュレーション(網羅はv2)。
id,name,lat,lng,pref,layer
isl_025,平戸島,33.360000,129.550000,長崎県,island
isl_026,天草下島,32.400000,130.100000,熊本県,island
isl_027,種子島,30.620000,130.970000,鹿児島県,island
isl_028,屋久島,30.340000,130.510000,鹿児島県,island
isl_029,奄美大島,28.320000,129.370000,鹿児島県,island
isl_030,徳之島,27.780000,128.960000,鹿児島県,island
isl_031,沖永良部島,27.370000,128.570000,鹿児島県,island
isl_032,与論島,27.040000,128.410000,鹿児島県,island
isl_033,喜界島,28.320000,129.940000,鹿児島県,island
isl_034,石垣島,24.400000,124.160000,沖縄県,island
isl_035,宮古島,24.800000,125.300000,沖縄県,island
isl_036,西表島,24.360000,123.800000,沖縄県,island
isl_037,与那国島,24.470000,123.000000,沖縄県,island
isl_038,久米島,26.340000,126.800000,沖縄県,island
isl_039,伊江島,26.720000,127.790000,沖縄県,island
isl_040,渡嘉敷島,26.200000,127.360000,沖縄県,island
isl_041,座間味島,26.230000,127.300000,沖縄県,island
isl_042,波照間島,24.060000,123.780000,沖縄県,island
isl_043,多良間島,24.660000,124.700000,沖縄県,island
isl_044,南大東島,25.840000,131.230000,沖縄県,island
isl_045,北大東島,25.940000,131.300000,沖縄県,island
