# 道の駅 全国一覧 — 本アプリ用キュレーションデータ
# 出典: 国土数値情報「道の駅」P35-18(2018年度版) 国土交通省
#       https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P35.html
# 駅名・所在地・座標は事実データ(著作権対象外)。施設フラグ等の付帯属性は非収載(SPEC §E7)。
id,name,lat,lng,pref
michi_0103,みついし,42.220874,142.634226,北海道
michi_0104,おとふけ,42.976584,143.207419,北海道
michi_0105,ピア21しほろ,43.144312,143.239276,北海道
michi_0106,しほろ温泉,43.138881,143.367911,北海道
michi_0107,しかおい,43.097713,142.990276,北海道
michi_0108,うりまく,43.169747,143.025023,北海道
michi_0109,なかさつない,42.692140,143.126839,北海道
michi_0110,さらべつ,42.633311,143.271848,北海道
michi_0111,コスモール大樹,42.489824,143.273259,北海道
michi_0112,忠類,42.558862,143.299194,北海道
michi_0113,ステラ★ほんべつ,43.125634,143.613250,北海道
michi_0114,足寄湖,43.252265,143.480611,北海道
michi_0115,あしょろ銀河ホール21,43.244332,143.546455,北海道
michi_0116,オーロラタウン93りくべつ,43.467863,143.742367,北海道
michi_0117,うらほろ,42.813998,143.663657,北海道
michi_0118,厚岸グルメパーク,43.057670,144.844018,北海道
michi_0119,摩周温泉,43.492391,144.447719,北海道
michi_0120,しらぬか恋問,42.992735,144.198127,北海道
michi_0121,おだいとう,43.533413,145.236876,北海道
michi_0122,知床・らうす,44.017454,145.192089,北海道
michi_0123,なみおか,40.717928,140.579519,青森県
michi_0124,浅虫温泉,40.891692,140.861370,青森県
michi_0125,ひろさき,40.554752,140.548795,青森県
michi_0126,なんごう,40.406785,141.430430,青森県
michi_0127,虹の湖,40.581966,140.687643,青森県
michi_0128,十三湖高原,41.045391,140.385462,青森県
michi_0129,奥入瀬,40.586204,141.117434,青森県
michi_0130,とわだ,40.574645,141.264612,青森県
michi_0131,みさわ,40.785414,141.363895,青森県
michi_0132,わきのさわ,41.167961,140.804770,青森県
michi_0133,かわうち湖,41.270398,140.888219,青森県
michi_0134,もりた,40.784406,140.322251,青森県
michi_0135,いかりがせき,40.481558,140.623165,青森県
michi_0136,いまべつ,41.145511,140.514335,青森県
michi_0137,みんまや,41.253834,140.346791,青森県
michi_0138,たいらだて,41.174837,140.641197,青森県
michi_0139,ふかうら,40.744223,140.000469,青森県
michi_0140,津軽白神,40.577739,140.300462,青森県
michi_0141,いなかだて,40.633619,140.577686,青森県
michi_0142,つるた,40.737146,140.442705,青森県
michi_0143,こどまり,41.144905,140.320596,青森県
michi_0144,しちのへ,40.716825,141.155250,青森県
michi_0145,ろくのへ,40.606404,141.324727,青森県
michi_0146,よこはま,41.083731,141.256588,青森県
michi_0147,おがわら湖,40.728039,141.274961,青森県
michi_0148,さんのへ,40.387808,141.255476,青森県
michi_0149,はしかみ,40.458496,141.608433,青森県
michi_0150,しんごう,40.431758,141.074445,青森県
michi_0151,区界高原,39.651615,141.353530,岩手県
michi_0152,たろう,39.763489,141.965689,岩手県
michi_0153,やまびこ館,39.648882,141.589162,岩手県
michi_0154,みやこ,39.639018,141.969894,岩手県
michi_0155,さんりく,39.121158,141.798998,岩手県
michi_0156,石鳥谷,39.483271,141.142137,岩手県
michi_0157,はやちね,39.536775,141.340490,岩手県
michi_0158,とうわ,39.382437,141.221895,岩手県
michi_0159,白樺の里やまがた,40.150939,141.573518,岩手県
michi_0160,くじ,40.189888,141.764639,岩手県
michi_0161,みやもり,39.346052,141.351304,岩手県
michi_0162,遠野風の丘,39.330925,141.501123,岩手県
michi_0163,厳美渓,38.946439,141.052885,岩手県
michi_0164,かわさき,38.898677,141.272375,岩手県
michi_0165,むろね,38.933199,141.447163,岩手県
michi_0166,高田松原,39.008465,141.628540,岩手県
michi_0167,釜石仙人峠,39.253633,141.781682,岩手県
michi_0168,にしね,39.879967,141.099379,岩手県
michi_0169,みずさわ,39.094217,141.181477,岩手県
michi_0170,雫石あねっこ,39.706412,140.874886,岩手県
michi_0171,くずまき高原,39.984567,141.339958,岩手県
michi_0172,石神の丘,39.968545,141.213810,岩手県
michi_0173,紫波,39.555555,141.206417,岩手県
michi_0174,錦秋湖,39.300719,140.875147,岩手県
michi_0175,平泉,38.991816,141.121791,岩手県
michi_0176,種山ヶ原,39.179837,141.395881,岩手県
michi_0177,やまだ,39.436905,141.973205,岩手県
michi_0178,いわいずみ,39.842305,141.862659,岩手県
michi_0179,三田貝分校,39.871122,141.589311,岩手県
michi_0180,たのはた,39.909617,141.902577,岩手県
michi_0181,のだ,40.116105,141.818707,岩手県
michi_0182,おりつめ,40.248349,141.416529,岩手県
michi_0183,おおの,40.279209,141.663408,岩手県
michi_0184,上品の郷,38.501033,141.295318,宮城県
michi_0185,大谷海岸,38.814009,141.566482,宮城県
michi_0186,津山,38.619593,141.325525,宮城県
michi_0187,米山,38.627118,141.187891,宮城県
michi_0188,林林館,38.742664,141.316076,宮城県
michi_0189,みなみかた,38.664880,141.160641,宮城県
michi_0190,三滝堂,38.707970,141.327823,宮城県
michi_0191,路田里はなやま,38.794418,140.844319,宮城県
michi_0192,三本木,38.521611,140.938388,宮城県
michi_0193,あ・ら・伊達な道の駅,38.707440,140.833294,宮城県
michi_0194,七ヶ宿,37.971123,140.505066,宮城県
michi_0195,村田,38.118639,140.717279,宮城県
michi_0196,おおさと,38.424053,140.992791,宮城県
michi_0197,あきた港,39.752708,140.061005,秋田県
michi_0198,ふたつい,40.218430,140.260873,秋田県
michi_0199,さんない,39.289317,140.625808,秋田県
michi_0200,十文字,39.226174,140.521447,秋田県
michi_0201,やたて峠,40.421034,140.624429,秋田県
michi_0202,ひない,40.219348,140.585214,秋田県
michi_0203,おが,39.881945,139.848335,秋田県
michi_0204,おがち,39.065139,140.460393,秋田県
michi_0205,かづの,40.181840,140.785215,秋田県
michi_0206,おおゆ,40.295831,140.825930,秋田県
michi_0207,にしめ,39.362880,140.014564,秋田県
michi_0208,東由利,39.301604,140.285026,秋田県
michi_0209,岩城,39.542084,140.052933,秋田県
michi_0210,おおうち,39.442884,140.090156,秋田県
michi_0211,清水の里・鳥海郷,39.109541,140.291515,秋田県
michi_0212,てんのう,39.856815,140.009563,秋田県
michi_0213,しょうわ,39.864734,140.077799,秋田県
michi_0214,かみおか,39.522147,140.376722,秋田県
michi_0215,なかせん,39.538540,140.533182,秋田県
michi_0216,協和,39.618840,140.362517,秋田県
michi_0217,たかのす,40.251513,140.375856,秋田県
michi_0218,あに,39.901824,140.456774,秋田県
michi_0219,大館能代空港,40.191970,140.371628,秋田県
michi_0220,象潟,39.220129,139.900182,秋田県
michi_0221,こさか七滝,40.356598,140.781686,秋田県
michi_0222,かみこあに,40.063515,140.297203,秋田県
michi_0223,ことおか,40.022308,140.080350,秋田県
michi_0224,はちもり,40.421583,139.948678,秋田県
michi_0225,みねはま,40.266850,140.028074,秋田県
michi_0226,五城目,39.947086,140.144214,秋田県
